num_registro;categoria;establecimiento;hab;plazas;domicilio;barrio;tel;mail;lon;lat
119;2 estrellas;PACIFICO HOTEL;41;83;ORO 2554;PALERMO;4771-4071;gerencia@hotelpacifico.com.ar;;
209;1 estrellas;GRAN SARMIENTO ;28;65;SARMIENTO 1892;BALVANERA;4372-2764;hotelgransarmiento@infovia.com.ar;-58.3935;-34.6058
122;1 estrellas;MAJESTIC HOTEL;41;82;LIBERTAD 121;SAN NICOLAS;4382-6441 / 1949;info@majestichotel.com.ar;-58.3835;-34.6072
117;2 estrellas;CENTRAL CORDOBA HOTEL;39;66;SAN MARTIN 1021;RETIRO;4311-1175;reservas@hotelcentralcordoba.com.ar;-58.3743;-34.596
19;2 estrellas;DIPLOMAT;48;98;SAN MARTIN 918;RETIRO;4311-9370 / 2718;info@hoteldiplomat.com.ar;-58.3743;-34.5972
57;2 estrellas;PLAZA ROMA;65;150;LAVALLE 110;SAN NICOLAS;4311-1679;info@hotelplazaroma.com.ar;-58.3693;-34.6019
106;3 estrellas;CONSTITUCION PALACE HOTEL;135;270;LIMA 1697;CONSTITUCION;4305-9010 al 20;reservas@cphotel.com.ar;-58.3815;-34.6277
31 A/10;3 estrellas;HOWARD JOHNSON H. BOUTIQUE RECOLETA;28;110;PEÑA 2047;RECOLETA;4800-1992;recepcion@hjboutiquerecoleta.com.ar;-58.3954;-34.5923
9;3 estrellas;IMPALA;60;140;LIBERTAD 1215;RETIRO;4816--0430 / 39;reservas@525hotel.com;-58.3844;-34.5942
39 A/10;3 estrellas;MORENO HOTEL BUENOS AIRES;40;201;MORENO 376;MONSERRAT;6091-2000;recepcion@morenobuenosaires.com;-58.3715;-34.6113
58;3 estrellas;REGIS HOTEL;84;190;LAVALLE 813;SAN NICOLAS;4327-2614;nbelchior@orho-hoteles.com.ar;-58.3783;-34.6023
508;4 estrellas;AMERICAS TOWER;94;291;LIBERTAD 1070;RETIRO;4129-0700;towers@grupoamericas.com.ar;-58.3843;-34.5961
26;4 estrellas;CARLTON;84;177;LIBERTAD 1180;RETIRO;4812-0081;hotelcarlton@solans.com;-58.3844;-34.5947
235;4 estrellas;DAZZLER TOWER;88;286;San Martín 920;RETIRO;5256-7700;malcaraz@dazzlersanmartin.com;-58.3743;-34.5971
82;4 estrellas;DE LAS AMERICAS;130;275;LIBERTAD 1020;RETIRO;4129-3400;reservas@grupoamericas.com.ar;-58.3843;-34.5966
232;4 estrellas;ESPLENDOR;51;160;San Martin 780;SAN NICOLAS;5256-8800 ;recepcion@esplendorbuenosaires.com;-58.3742;-34.5988
3;4 estrellas;GRAND KING HOTEL;102;214;LAVALLE 560;SAN NICOLAS;4393-4052 / 4012;reservas@grandking.com.ar gerencia@grandking.com.ar;-58.3747;-34.6022
185;4 estrellas;NH FLORIDA;167;334;SAN MARTIN 839;RETIRO;4321-9850;nhflorida@nh-hotels.com;-58.3742;-34.5981
233;4 estrellas;TRYP BUENOS AIRES;62;209;San Martin 474;SAN NICOLAS;5222-9600;mferrando@trypbuenosaires.com.ar;-58.3739;-34.6025
189;5 estrellas;LOI SUITES RECOLETA HOTEL;112;224;VICENTE LOPEZ 1955;RECOLETA;5777-8950;recoleta@loisuites.com.ar;-58.3925;-34.5895
203;Hosp. A;GRAN VIA HOTEL ;44;72;SARMIENTO 1450;SAN NICOLAS;4371-5763;info@hotelgranvia.com.ar;-58.3871;-34.6054
228/82;Hosp. A;GUAYAQUIL;25;47;MORENO 2718;BALVANERA;4931-4626;;-58.4045;-34.6134
254;Hosp. A;HISPANO ARGENTINO;36;69;LIMA 1483;CONSTITUCION;4304-5855;;-58.3824;-34.6257
209;Hosp. A;LAS FAMILIAS;28;60;CUBA 3146;NUÑEZ;4702-5687;hotellasfamilias@ciudad.com.ar hotellasfamilias@ciudad.com.ar;-58.4636;-34.5515
811;Hosp. A;SAN CARLOS;24;57;MORENO 3054;BALVANERA;4931-7823;;-58.4093;-34.614
243;Hosp. A;SAN ROMAN;38;85;MORENO 1133;MONSERRAT;4383-2318;hotelsanroman@yahoo.com.ar;-58.3823;-34.6119
242;Hosp. A;TREN MIXTO;41;82;LIMA 1717;CONSTITUCION;4305-9155;;-58.3815;-34.6281
407;Hosp. B;9 DE JULIO;23;57;LIMA 1417;CONSTITUCION;4305-3967;josemarceloteo@yahoo.com;-58.3825;-34.625
311;Hosp. B;DOS MUNDOS;37;98;SARMIENTO 2009;BALVANERA;4953-2171;;-58.3954;-34.6058
371;Hosp. B;EUROPEO;23;67;SARMIENTO 2010;BALVANERA;4953-6384;;-58.3953;-34.6059
334;Hosp. B;PANAMERICAN;42;95;MORENO 2754;BALVANERA;4942-8807;;-58.4048;-34.6134
400;Hosp. B;SARMIENTO;36;72;SARMIENTO 1162;SAN NICOLAS;4382-4148;;-58.3831;-34.6051
20;3 estrellas;GRAN HOTEL DE LA PAIX;66;144;RIVADAVIA 1155;SAN NICOLAS;4381-8061 / 63;reservas@granhoteldelapaix.com.ar;-58.3828;-34.6085
159;4 estrellas;CUATRO REYES;70;128;INDEPENDENCIA 1391;MONSERRAT;4384 -8000;informacion@hotelcuatroreyes.com;-58.3856;-34.6178
502;4 estrellas;PARK ELEGANCE UNIQUE (ex KEMPINSKI HOTEL PARK ELEGANCE);43;173;Pueyrredon 1940;RECOLETA;6777-0500 Fax: 6777-0500 ;elegance@hotels-unique.com;-58.3995;-34.5888
287;Hosp. A;PIRAMIDES;18;26;PERON 1473;SAN NICOLAS;4371-4849;;-58.3874;-34.6065
819;Hosp. A;TEMUCO;20;44;PERON 4261;ALMAGRO;4862-3053;;-58.427;-34.6059
303;Hosp. B;O REI;35;70;LAVALLE 0733;SAN NICOLAS;4393-7186;info@hotelorei.com.ar;-58.3772;-34.6023
390;Hosp. B;CONFORT;22;48;RIVADAVIA 2093;BALVANERA;4953-4367;;-58.3962;-34.6094
805;Hosp. A;HAITI;17;35;PERON 3384;ALMAGRO;4861-6172;;-58.4143;-34.6073
85;3 estrellas;NAPOLEON HOTEL;60;120;RIVADAVIA 1364;SAN NICOLAS;5353-2031;info@hotel-napoleon.com.ar;-58.3857;-34.6088
169;3 estrellas;DE LOS DOS CONGRESOS;51;102;RIVADAVIA 1777;SAN NICOLAS;4371-0072 / 4372;reservas@hostelpuntocero.com;-58.3915;-34.6092
38;3 estrellas;CARDTON HOTEL;30;60;PERON 1555;SAN NICOLAS;4382-2463;hotelcardtonbaires@hotmail.com ;-58.3887;-34.6066
237;2 estrellas;GRAN HOTEL LIBERTAD;63;131;LIBERTAD  249;SAN NICOLAS;4381-2631/4382-7789;info@granhotellibertad.com.ar;-58.3836;-34.6057
55 A/11;1 estrellas;HOTEL SIENA;35;70;PERÓN 1554;SAN NICOLÁS ;43710720/7422/6346;hotelsienabaires@gmail.com;-58.3886;-34.6066
66-A/11;REG DE PREST;TIANA BUENOS AIRES;11;32;HUMBERTO 1º 629;SAN TELMO;4300-8177;info@tianabuenosaires.com.ar ;-58.3748;-34.6207
177;2 estrellas;CAMARO PALACE HOTEL;43;86;SARMIENTO 4239/43;ALMAGRO;4867-4798 / 0195;camaroph@ciudad.com.ar;-58.4249;-34.6044
37 A/10;2 estrellas;A & B INTERNACIONAL;32;53;MONTEVIDEO 242/248;SAN NICOLAS;4384-9516/4382-4118;recepcion@hotelayb.com moterovieites@hotmail.com.ar;-58.3894;-34.6062
5;1 estrellas;BRISAS HOTEL;40;85;TACUARI 1621/25;CONSTITUCION;4300-5076 / 77;hotelbrisas1@gmail.com;-58.3771;-34.6271
44 A/10;4 estrellas;NH TANGO;108;222;AV. CERRITO 550;SAN NICOLAS;4124-6700;nhtango@nh-hotels.com;-58.3824;-34.6019
118;1 estrellas;PALACE SOLIS;51;113;SOLIS 0352/56;MONSERRAT;4371-7428 / 6266;info@hotelsolis.com.ar;-58.3903;-34.6131
15;2 estrellas;PALERMO HOTEL;51;87;GODOY CRUZ 2709/25;PALERMO;4774-7342;info@hotel-palermo.com.ar;-58.425;-34.5784
34 A/10;REG DE PREST;TANGUERO BOUTIQUE;21;46;SUIPACHA 778/80;SAN NICOLAS;4328-7006 / 4328-7045;info@tanguerohotel.com ;-58.3798;-34.5993
157;4 estrellas;DOLMEN;103;289;SUIPACHA 1069/79;RETIRO;4311-9000 / 4315-7117;dolmenhotel@hoteldolmen.com.ar gerencia.op@hoteldolmen.com.ar;-58.3799;-34.5956
160;2 estrellas;INTERNACIONAL;47;91;B. IRIGOYEN 552/4/8;MONSERRAT;4334-4949;info@hotel-internacional.com.ar;-58.3803;-34.6147
2;3 estrellas;COLUMBIA PALACE HOTEL;67;150;CORRIENTES 1533/35/37;SAN NICOLAS;4373-1906;reservas@columbiapalacehotel.com.ar;-58.3884;-34.6041
63;1 estrellas;EL CABILDO;40;89;LAVALLE 0748;SAN NICOLAS;4322-6695 / 6745;hotelelcabildo@yahoo.com.ar gerencia@hotelelcabildo.com;-58.3774;-34.6024
255;Hosp. A;SAN CRISTOBAL;20;40;HUMBERTO 1º 2172;SAN CRISTOBAL;4941-7768;carlosemiliomendez@hotmail.com;-58.3963;-34.6218
5021;APART;SARMIENTO SUITES;38;76;SARMIENTO 670/4;SAN NICOLAS;4393-8997 / 8937 / 9035;reservas@sarmientosuites.com.ar;-58.3762;-34.6047
117;REG DE PREST;ST. NICHOLAS HOSTEL;9;18;Mitre Bartolome 1691 1º;SAN NICOLÁS ;4373-5920 esta mal el tel;info@snhostel.com ;-58.3905;-34.6079
321;Hosp. B;CARLY;25;53;HUMBERTO 1º 0464;SAN TELMO;4361-7710;;-58.3723;-34.6207
114;REG DE PREST;PORTAL DEL SUR;;;Yrigoyen Hipolito 0855 2º;MONSERRAT;4342-8788;recepcion@portaldelsurba.com.ar;-58.3785;-34.6094
5033;APART 2 estrellas;ARGENTINA TANGO HOTEL;28;105;SUIPACHA 545/ 7;SAN NICOLAS;4322- 3434;reservas@atangohotel.com ;-58.3795;-34.6019
57 A/11;REG DE PREST;MÍO BUENOS AIRES;29;58;QUINTATA 465;RECOLETA;52958513;"info@miobuenosaires.com; fabricioberman@miobuenosaires.com";-58.3896;-34.5886
345;Hosp. B;BRISAS DEL MAR;27;57;HUMBERTO 1º 0826;CONSTITUCION;4300-0040;info@hotelbrisasdelmar.com.ar;-58.3776;-34.6209
821;Hosp. A;ONCE PLAZA;21;62;MORENO 2717 PB;BALVANERA;4932-5400;info@onceplazahteldos.com.ar;-58.4046;-34.6134
346;Hosp. B;BAHIA 1;10;42;CORRIENTES 1212 3º;SAN NICOLAS;4382-1780;anelluz@hotmail.com arhotelbahia@gmail.com;-58.3839;-34.6039
5018;APART;TORRE CRISTOFORO COLOMBO SUITES;160;485;F.J.S. DE ORO 2747/55;PALERMO;4777-9622;;-58.4219;-34.5767
279;Hosp. A;ODEON;25;56;HUMBERTO 1º 1257;CONSTITUCION;4304-3347/ 9775;info@hotelodeon.com.ar hotelodeon@hotmail.com;-58.3837;-34.621
816;Hosp. A;MANZANARES;23;40;MANZANARES 2331/41;NUÑEZ;4702-6839;;-58.4685;-34.5469
828;Hosp. A;IVAN (HOTEL SINDICAL);28;57;GALLO 0513/15;BALVANERA;4862-1198/1838;HOTEL SINDICAL hotel@11deoctubre.com.ar;-58.4129;-34.603
5035;APART 3 estrellas;HOTEL PAMPA;41;123;LA PAMPA 751/777;BELGRANO;4789-9561;info@pampaplaza.com;-58.437;-34.5546
07 A/09;APART 2 estrellas;KER BELGRANO;27;54;VTA DE OBLIGADO 2727;BELGRANO;4789-9383;recepcionbelgrano@kerhoteles.com.ar;-58.4607;-34.5555
803;Hosp. A;ABC;36;68;SANTIAGO DEL ESTERO 1640 PB;CONSTITUCION;4304-2706;bettyyvos@gmail.com;-58.3843;-34.6274
36 A/10;Hosp. A;CASA LAS CAÑITAS;9;16;HUERGO 283/85;PALERMO;47713878;info@casalascanitas.com;-58.4316;-34.573
52 A/11;APART 2 estrellas;PALERMO SUITES BUENOS AIRES APARTMENTS;38;106;F.J.S. DE ORO 2529/31/33;PALERMO;5197-5800;info@palermosuites.net;-58.4239;-34.5788
141;1 estrellas;DE LA RUE;25;74;FREIRE 1765 PB;BELGRANO;4551-4884 / 4552-4048;consultashotel@yahoo.com.ar info@hoteldelarue.com.ar;-58.4615;-34.5698
99;4 estrellas;WILTON PALACE HOTEL;95;200;CALLAO 1162/64;RECOLETA;4811-1818 ;v.akrabian@hotelwilton.com.ar;-58.3933;-34.5952
145;4 estrellas;TRITONE HOTEL;53;134;MAIPU 651/7;SAN NICOLAS;4325-8955;recepcion@tritonehotel.com.ar;-58.3767;-34.6005
202;5 estrellas;SOFITEL BUENOS AIRES;144;288;ARROYO 841/849;RETIRO;4131-0000;juan.pena@sofitel.com;-58.3791;-34.5918
91;5 estrellas;HOTEL NH CITY;303;606;BOLIVAR 160/120;MONSERRAT;4121-6464 / 6400;d.chourrout@nh-hotels.com;-58.3734;-34.6098
98;5 estrellas;SHERATON HOTEL CONVENTION CENTER;739;1420;SAN MARTIN 1225/75;RETIRO;4318-9000;rocio.porticella@sheraton.com ;-58.4471;-34.6074
210;5 estrellas;PALACIO DUHAU;170;659;AVENIDA ALVEAR 1661;RECOLETA;5171 1234;debora.gonzalez@hyatt.com;-58.3864;-34.5894
148;5 estrellas;FOUR SEASONS HOTEL BUENOS AIRES;165;330;POSADAS 1086 /CERRITO 1433/55;RETIRO;4321-1200;bue.communicationcenter@fourseasons.com;-58.3823;-34.5902
156;5 estrellas;INTERCONTINENTAL BUENOS AIRES;314;628;MORENO 809/41;MONSERRAT;4340-7122;christian.essells@ihg.com;-58.3779;-34.6116
